date,event_type,ticker,event_name,impact_level
2019-10-09,dividend,MRVL,MRVL Dividend Payment,low
2019-11-04,dividend,ASML,ASML Dividend Payment,low
2019-11-06,dividend,INTC,INTC Dividend Payment,low
2019-11-15,dividend,KLAC,KLAC Dividend Payment,low
2019-11-20,dividend,AMAT,AMAT Dividend Payment,low
2019-11-27,dividend,NVDA,NVDA Dividend Payment,low
2019-12-04,dividend,QCOM,QCOM Dividend Payment,low
2019-12-10,dividend,LRCX,LRCX Dividend Payment,low
2019-12-13,dividend,NXPI,NXPI Dividend Payment,low
2019-12-19,dividend,TSM,TSM Dividend Payment,low
2019-12-20,dividend,AVGO,AVGO Dividend Payment,low
2019-12-24,dividend,MRVL,MRVL Dividend Payment,low
2020-02-06,dividend,INTC,INTC Dividend Payment,low
2020-02-18,dividend,AMAT,AMAT Dividend Payment,low
2020-02-20,dividend,KLAC,KLAC Dividend Payment,low
2020-02-27,dividend,NVDA,NVDA Dividend Payment,low
2020-03-04,dividend,QCOM,QCOM Dividend Payment,low
2020-03-13,dividend,NXPI,NXPI Dividend Payment,low
2020-03-19,dividend,TSM,TSM Dividend Payment,low
2020-03-20,dividend,AVGO,AVGO Dividend Payment,low
2020-03-24,dividend,LRCX,LRCX Dividend Payment,low
2020-04-02,dividend,MRVL,MRVL Dividend Payment,low
2020-04-24,dividend,ASML,ASML Dividend Payment,low
2020-05-06,dividend,INTC,INTC Dividend Payment,low
2020-05-15,dividend,KLAC,KLAC Dividend Payment,low
2020-05-20,dividend,AMAT,AMAT Dividend Payment,low
2020-06-03,dividend,QCOM,QCOM Dividend Payment,low
2020-06-04,dividend,NVDA,NVDA Dividend Payment,low
2020-06-12,dividend,NXPI,NXPI Dividend Payment,low
2020-06-16,dividend,LRCX,LRCX Dividend Payment,low
2020-06-18,dividend,TSM,TSM Dividend Payment,low
2020-06-19,dividend,AVGO,AVGO Dividend Payment,low
2020-07-10,dividend,MRVL,MRVL Dividend Payment,low
2020-08-06,dividend,INTC,INTC Dividend Payment,low
2020-08-14,dividend,KLAC,KLAC Dividend Payment,low
2020-08-19,dividend,AMAT,AMAT Dividend Payment,low
2020-09-01,dividend,NVDA,NVDA Dividend Payment,low
2020-09-02,dividend,QCOM,QCOM Dividend Payment,low
2020-09-14,dividend,NXPI,NXPI Dividend Payment,low
2020-09-17,dividend,TSM,TSM Dividend Payment,low
2020-09-21,dividend,AVGO,AVGO Dividend Payment,low
2020-09-29,dividend,LRCX,LRCX Dividend Payment,low
2020-10-08,dividend,MRVL,MRVL Dividend Payment,low
2020-11-02,dividend,ASML,ASML Dividend Payment,low
2020-11-05,dividend,INTC,INTC Dividend Payment,low
2020-11-13,dividend,KLAC,KLAC Dividend Payment,low
2020-11-18,dividend,AMAT,AMAT Dividend Payment,low
2020-12-01,dividend,VRT,VRT Dividend Payment,low
2020-12-02,dividend,QCOM,QCOM Dividend Payment,low
2020-12-03,dividend,NVDA,NVDA Dividend Payment,low
2020-12-08,dividend,LRCX,LRCX Dividend Payment,low
2020-12-14,dividend,NXPI,NXPI Dividend Payment,low
2020-12-17,dividend,TSM,TSM Dividend Payment,low
2020-12-18,dividend,AVGO,AVGO Dividend Payment,low
2020-12-22,dividend,MRVL,MRVL Dividend Payment,low
2021-02-04,dividend,INTC,INTC Dividend Payment,low
2021-02-18,dividend,KLAC,KLAC Dividend Payment,low
2021-02-24,dividend,AMAT,AMAT Dividend Payment,low
2021-03-03,dividend,QCOM,QCOM Dividend Payment,low
2021-03-09,dividend,NVDA,NVDA Dividend Payment,low
2021-03-12,dividend,NXPI,NXPI Dividend Payment,low
2021-03-16,dividend,LRCX,LRCX Dividend Payment,low
2021-03-17,dividend,TSM,TSM Dividend Payment,low
2021-03-19,dividend,AVGO,AVGO Dividend Payment,low
2021-04-08,dividend,MRVL,MRVL Dividend Payment,low
2021-05-03,dividend,ASML,ASML Dividend Payment,low
2021-05-06,dividend,INTC,INTC Dividend Payment,low
2021-05-14,dividend,KLAC,KLAC Dividend Payment,low
2021-05-26,dividend,AMAT,AMAT Dividend Payment,low
2021-06-02,dividend,QCOM,QCOM Dividend Payment,low
2021-06-09,dividend,NVDA,NVDA Dividend Payment,low
2021-06-14,dividend,NXPI,NXPI Dividend Payment,low
2021-06-15,dividend,LRCX,LRCX Dividend Payment,low
2021-06-17,dividend,TSM,TSM Dividend Payment,low
2021-06-21,dividend,AVGO,AVGO Dividend Payment,low
2021-07-08,dividend,MRVL,MRVL Dividend Payment,low
2021-07-20,split,NVDA,NVDA Stock Split 4.0:1,high
2021-08-05,dividend,INTC,INTC Dividend Payment,low
2021-08-13,dividend,KLAC,KLAC Dividend Payment,low
2021-08-25,dividend,AMAT,AMAT Dividend Payment,low
2021-08-31,dividend,NVDA,NVDA Dividend Payment,low
2021-09-01,dividend,QCOM,QCOM Dividend Payment,low
2021-09-14,dividend,NXPI,NXPI Dividend Payment,low
2021-09-16,dividend,TSM,TSM Dividend Payment,low
2021-09-21,dividend,AVGO,AVGO Dividend Payment,low
2021-09-27,dividend,LRCX,LRCX Dividend Payment,low
2021-09-30,dividend,MU,MU Dividend Payment,low
2021-10-07,dividend,MRVL,MRVL Dividend Payment,low
2021-11-02,dividend,ASML,ASML Dividend Payment,low
2021-11-04,dividend,INTC,INTC Dividend Payment,low
2021-11-12,dividend,KLAC,KLAC Dividend Payment,low
2021-11-24,dividend,AMAT,AMAT Dividend Payment,low
2021-11-30,dividend,VRT,VRT Dividend Payment,low
2021-12-01,dividend,NVDA,NVDA Dividend Payment,low
2021-12-01,dividend,QCOM,QCOM Dividend Payment,low
2021-12-14,dividend,LRCX,LRCX Dividend Payment,low
2021-12-14,dividend,NXPI,NXPI Dividend Payment,low
2021-12-16,dividend,TSM,TSM Dividend Payment,low
2021-12-21,dividend,AVGO,AVGO Dividend Payment,low
2021-12-31,dividend,MU,MU Dividend Payment,low
2022-01-06,dividend,MRVL,MRVL Dividend Payment,low
2022-02-04,dividend,INTC,INTC Dividend Payment,low
2022-02-11,dividend,KLAC,KLAC Dividend Payment,low
2022-02-22,dividend,AMAT,AMAT Dividend Payment,low
2022-03-02,dividend,NVDA,NVDA Dividend Payment,low
2022-03-02,dividend,QCOM,QCOM Dividend Payment,low
2022-03-14,dividend,NXPI,NXPI Dividend Payment,low
2022-03-15,dividend,LRCX,LRCX Dividend Payment,low
2022-03-16,dividend,TSM,TSM Dividend Payment,low
2022-03-21,dividend,AVGO,AVGO Dividend Payment,low
2022-04-07,dividend,MRVL,MRVL Dividend Payment,low
2022-04-08,dividend,MU,MU Dividend Payment,low
2022-05-03,dividend,ASML,ASML Dividend Payment,low
2022-05-05,dividend,INTC,INTC Dividend Payment,low
2022-05-13,dividend,KLAC,KLAC Dividend Payment,low
2022-05-25,dividend,AMAT,AMAT Dividend Payment,low
2022-06-01,dividend,QCOM,QCOM Dividend Payment,low
2022-06-08,dividend,NVDA,NVDA Dividend Payment,low
2022-06-14,dividend,LRCX,LRCX Dividend Payment,low
2022-06-14,dividend,NXPI,NXPI Dividend Payment,low
2022-06-16,dividend,TSM,TSM Dividend Payment,low
2022-06-21,dividend,AVGO,AVGO Dividend Payment,low
2022-07-07,dividend,MRVL,MRVL Dividend Payment,low
2022-07-08,dividend,MU,MU Dividend Payment,low
2022-07-18,split,GOOGL,GOOGL Stock Split 20.0:1,high
2022-08-04,dividend,ASML,ASML Dividend Payment,low
2022-08-04,dividend,INTC,INTC Dividend Payment,low
2022-08-12,dividend,KLAC,KLAC Dividend Payment,low
2022-08-24,dividend,AMAT,AMAT Dividend Payment,low
2022-08-31,dividend,QCOM,QCOM Dividend Payment,low
2022-09-07,dividend,NVDA,NVDA Dividend Payment,low
2022-09-13,dividend,LRCX,LRCX Dividend Payment,low
2022-09-14,dividend,NXPI,NXPI Dividend Payment,low
2022-09-15,dividend,TSM,TSM Dividend Payment,low
2022-09-21,dividend,AVGO,AVGO Dividend Payment,low
2022-10-06,dividend,MRVL,MRVL Dividend Payment,low
2022-10-07,dividend,MU,MU Dividend Payment,low
2022-11-03,dividend,ASML,ASML Dividend Payment,low
2022-11-04,dividend,INTC,INTC Dividend Payment,low
2022-11-14,dividend,KLAC,KLAC Dividend Payment,low
2022-11-23,dividend,AMAT,AMAT Dividend Payment,low
2022-11-29,dividend,VRT,VRT Dividend Payment,low
2022-11-30,dividend,NVDA,NVDA Dividend Payment,low
2022-11-30,dividend,QCOM,QCOM Dividend Payment,low
2022-12-13,dividend,LRCX,LRCX Dividend Payment,low
2022-12-14,dividend,NXPI,NXPI Dividend Payment,low
2022-12-15,dividend,TSM,TSM Dividend Payment,low
2022-12-19,dividend,AVGO,AVGO Dividend Payment,low
2022-12-30,dividend,MU,MU Dividend Payment,low
2023-01-05,dividend,MRVL,MRVL Dividend Payment,low
2023-02-06,dividend,ASML,ASML Dividend Payment,low
2023-02-06,dividend,INTC,INTC Dividend Payment,low
2023-02-10,dividend,KLAC,KLAC Dividend Payment,low
2023-02-22,dividend,AMAT,AMAT Dividend Payment,low
2023-03-01,dividend,QCOM,QCOM Dividend Payment,low
2023-03-07,dividend,NVDA,NVDA Dividend Payment,low
2023-03-14,dividend,LRCX,LRCX Dividend Payment,low
2023-03-14,dividend,NXPI,NXPI Dividend Payment,low
2023-03-16,dividend,TSM,TSM Dividend Payment,low
2023-03-21,dividend,AVGO,AVGO Dividend Payment,low
2023-04-05,dividend,MRVL,MRVL Dividend Payment,low
2023-04-06,dividend,MU,MU Dividend Payment,low
2023-05-01,dividend,ASML,ASML Dividend Payment,low
2023-05-04,dividend,INTC,INTC Dividend Payment,low
2023-05-12,dividend,KLAC,KLAC Dividend Payment,low
2023-05-24,dividend,AMAT,AMAT Dividend Payment,low
2023-05-31,dividend,QCOM,QCOM Dividend Payment,low
2023-06-07,dividend,NVDA,NVDA Dividend Payment,low
2023-06-13,dividend,LRCX,LRCX Dividend Payment,low
2023-06-13,dividend,NXPI,NXPI Dividend Payment,low
2023-06-15,dividend,TSM,TSM Dividend Payment,low
2023-06-21,dividend,AVGO,AVGO Dividend Payment,low
2023-07-06,dividend,MRVL,MRVL Dividend Payment,low
2023-07-07,dividend,MU,MU Dividend Payment,low
2023-08-01,dividend,ASML,ASML Dividend Payment,low
2023-08-04,dividend,INTC,INTC Dividend Payment,low
2023-08-14,dividend,KLAC,KLAC Dividend Payment,low
2023-08-23,dividend,AMAT,AMAT Dividend Payment,low
2023-08-30,dividend,QCOM,QCOM Dividend Payment,low
2023-09-06,dividend,NVDA,NVDA Dividend Payment,low
2023-09-12,dividend,LRCX,LRCX Dividend Payment,low
2023-09-12,dividend,NXPI,NXPI Dividend Payment,low
2023-09-14,dividend,TSM,TSM Dividend Payment,low
2023-09-20,dividend,AVGO,AVGO Dividend Payment,low
2023-10-05,dividend,MRVL,MRVL Dividend Payment,low
2023-10-06,dividend,MU,MU Dividend Payment,low
2023-11-01,dividend,ASML,ASML Dividend Payment,low
2023-11-06,dividend,INTC,INTC Dividend Payment,low
2023-11-14,dividend,KLAC,KLAC Dividend Payment,low
2023-11-22,dividend,AMAT,AMAT Dividend Payment,low
2023-11-29,dividend,QCOM,QCOM Dividend Payment,low
2023-12-05,dividend,NVDA,NVDA Dividend Payment,low
2023-12-08,dividend,VRT,VRT Dividend Payment,low
2023-12-12,dividend,LRCX,LRCX Dividend Payment,low
2023-12-12,dividend,NXPI,NXPI Dividend Payment,low
2023-12-14,dividend,TSM,TSM Dividend Payment,low
2023-12-19,dividend,AVGO,AVGO Dividend Payment,low
2023-12-29,dividend,MU,MU Dividend Payment,low
2024-01-04,dividend,MRVL,MRVL Dividend Payment,low
2024-02-05,dividend,ASML,ASML Dividend Payment,low
2024-02-06,dividend,INTC,INTC Dividend Payment,low
2024-02-15,dividend,KLAC,KLAC Dividend Payment,low
2024-02-21,dividend,AMAT,AMAT Dividend Payment,low
2024-02-21,dividend,META,META Dividend Payment,low
2024-02-28,dividend,QCOM,QCOM Dividend Payment,low
2024-03-05,dividend,NVDA,NVDA Dividend Payment,low
2024-03-12,dividend,LRCX,LRCX Dividend Payment,low
2024-03-18,dividend,TSM,TSM Dividend Payment,low
2024-03-18,dividend,VRT,VRT Dividend Payment,low
2024-03-20,dividend,AVGO,AVGO Dividend Payment,low
2024-03-20,dividend,NXPI,NXPI Dividend Payment,low
2024-03-28,dividend,MU,MU Dividend Payment,low
2024-04-11,dividend,MRVL,MRVL Dividend Payment,low
2024-04-26,dividend,ASML,ASML Dividend Payment,low
2024-05-06,dividend,INTC,INTC Dividend Payment,low
2024-05-14,dividend,KLAC,KLAC Dividend Payment,low
2024-05-22,dividend,AMAT,AMAT Dividend Payment,low
2024-05-30,dividend,QCOM,QCOM Dividend Payment,low
2024-06-10,dividend,GOOGL,GOOGL Dividend Payment,low
2024-06-10,split,NVDA,NVDA Stock Split 10.0:1,high
2024-06-11,dividend,NVDA,NVDA Dividend Payment,low
2024-06-13,dividend,NXPI,NXPI Dividend Payment,low
2024-06-13,dividend,TSM,TSM Dividend Payment,low
2024-06-14,dividend,META,META Dividend Payment,low
2024-06-17,dividend,VRT,VRT Dividend Payment,low
2024-06-18,dividend,LRCX,LRCX Dividend Payment,low
2024-06-24,dividend,AVGO,AVGO Dividend Payment,low
2024-07-08,dividend,MU,MU Dividend Payment,low
2024-07-12,dividend,MRVL,MRVL Dividend Payment,low
2024-07-15,split,AVGO,AVGO Stock Split 10.0:1,high
2024-07-29,dividend,ASML,ASML Dividend Payment,low
2024-08-07,dividend,INTC,INTC Dividend Payment,low
2024-08-15,dividend,KLAC,KLAC Dividend Payment,low
2024-08-22,dividend,AMAT,AMAT Dividend Payment,low
2024-09-05,dividend,QCOM,QCOM Dividend Payment,low
2024-09-09,dividend,GOOGL,GOOGL Dividend Payment,low
2024-09-12,dividend,NVDA,NVDA Dividend Payment,low
2024-09-12,dividend,NXPI,NXPI Dividend Payment,low
2024-09-12,dividend,TSM,TSM Dividend Payment,low
2024-09-16,dividend,META,META Dividend Payment,low
2024-09-17,dividend,LRCX,LRCX Dividend Payment,low
2024-09-17,dividend,VRT,VRT Dividend Payment,low
2024-09-19,dividend,AVGO,AVGO Dividend Payment,low
2024-10-01,split,SMCI,SMCI Stock Split 10.0:1,high
2024-10-03,split,LRCX,LRCX Stock Split 10.0:1,high
2024-10-07,dividend,MU,MU Dividend Payment,low
2024-10-11,dividend,MRVL,MRVL Dividend Payment,low
2024-10-29,dividend,ASML,ASML Dividend Payment,low
2024-11-18,dividend,KLAC,KLAC Dividend Payment,low
2024-11-21,dividend,AMAT,AMAT Dividend Payment,low
2024-12-03,dividend,VRT,VRT Dividend Payment,low
2024-12-05,dividend,NVDA,NVDA Dividend Payment,low
2024-12-05,dividend,NXPI,NXPI Dividend Payment,low
2024-12-05,dividend,QCOM,QCOM Dividend Payment,low
2024-12-09,dividend,GOOGL,GOOGL Dividend Payment,low
2024-12-11,dividend,LRCX,LRCX Dividend Payment,low
2024-12-12,dividend,TSM,TSM Dividend Payment,low
2024-12-16,dividend,META,META Dividend Payment,low
2024-12-23,dividend,AVGO,AVGO Dividend Payment,low
2024-12-30,dividend,MU,MU Dividend Payment,low
2025-01-10,dividend,MRVL,MRVL Dividend Payment,low
2025-02-11,dividend,ASML,ASML Dividend Payment,low
2025-02-20,dividend,AMAT,AMAT Dividend Payment,low
2025-02-24,dividend,KLAC,KLAC Dividend Payment,low
2025-03-05,dividend,LRCX,LRCX Dividend Payment,low
2025-03-06,dividend,QCOM,QCOM Dividend Payment,low
2025-03-10,dividend,GOOGL,GOOGL Dividend Payment,low
2025-03-12,dividend,NVDA,NVDA Dividend Payment,low
2025-03-14,dividend,META,META Dividend Payment,low
2025-03-18,dividend,TSM,TSM Dividend Payment,low
2025-03-18,dividend,VRT,VRT Dividend Payment,low
2025-03-19,dividend,NXPI,NXPI Dividend Payment,low
2025-03-20,dividend,AVGO,AVGO Dividend Payment,low
2025-03-31,dividend,MU,MU Dividend Payment,low
2025-04-11,dividend,MRVL,MRVL Dividend Payment,low
2025-04-28,dividend,ASML,ASML Dividend Payment,low
2025-05-19,dividend,KLAC,KLAC Dividend Payment,low
2025-05-22,dividend,AMAT,AMAT Dividend Payment,low
2025-06-05,dividend,QCOM,QCOM Dividend Payment,low
2025-06-09,dividend,GOOGL,GOOGL Dividend Payment,low
2025-06-11,dividend,NVDA,NVDA Dividend Payment,low
2025-06-12,dividend,TSM,TSM Dividend Payment,low
2025-06-16,dividend,META,META Dividend Payment,low
2025-06-16,dividend,VRT,VRT Dividend Payment,low
2025-06-18,dividend,LRCX,LRCX Dividend Payment,low
2025-06-20,dividend,AVGO,AVGO Dividend Payment,low
2025-06-25,dividend,NXPI,NXPI Dividend Payment,low
2025-07-07,dividend,MU,MU Dividend Payment,low
2025-07-11,dividend,MRVL,MRVL Dividend Payment,low
2025-07-29,dividend,ASML,ASML Dividend Payment,low
2025-08-18,dividend,KLAC,KLAC Dividend Payment,low
2025-08-21,dividend,AMAT,AMAT Dividend Payment,low
2025-09-04,dividend,QCOM,QCOM Dividend Payment,low
2025-09-08,dividend,GOOGL,GOOGL Dividend Payment,low
2025-09-11,dividend,NVDA,NVDA Dividend Payment,low
2025-09-15,dividend,VRT,VRT Dividend Payment,low
2025-09-16,dividend,TSM,TSM Dividend Payment,low
2025-09-17,dividend,NXPI,NXPI Dividend Payment,low
2025-09-22,dividend,AVGO,AVGO Dividend Payment,low
2025-09-22,dividend,META,META Dividend Payment,low
2025-09-24,dividend,LRCX,LRCX Dividend Payment,low
2025-10-03,dividend,MU,MU Dividend Payment,low
2025-10-10,dividend,MRVL,MRVL Dividend Payment,low
2025-10-29,dividend,ASML,ASML Dividend Payment,low
2025-11-17,dividend,KLAC,KLAC Dividend Payment,low
2025-11-20,dividend,AMAT,AMAT Dividend Payment,low
2025-11-25,dividend,VRT,VRT Dividend Payment,low
2025-12-03,dividend,LRCX,LRCX Dividend Payment,low
2025-12-04,dividend,NVDA,NVDA Dividend Payment,low
2025-12-04,dividend,QCOM,QCOM Dividend Payment,low
2025-12-08,dividend,GOOGL,GOOGL Dividend Payment,low
2025-12-10,dividend,NXPI,NXPI Dividend Payment,low
2025-12-11,dividend,TSM,TSM Dividend Payment,low
2025-12-15,dividend,META,META Dividend Payment,low
2025-12-22,dividend,AVGO,AVGO Dividend Payment,low
2025-12-29,dividend,MU,MU Dividend Payment,low
2026-01-09,dividend,MRVL,MRVL Dividend Payment,low
2026-02-10,dividend,ASML,ASML Dividend Payment,low
2026-02-17,dividend,KLAC,KLAC Dividend Payment,low
2026-02-19,dividend,AMAT,AMAT Dividend Payment,low
2026-03-04,dividend,LRCX,LRCX Dividend Payment,low
2026-03-05,dividend,QCOM,QCOM Dividend Payment,low
2026-03-09,dividend,GOOGL,GOOGL Dividend Payment,low
2026-03-11,dividend,NVDA,NVDA Dividend Payment,low
2026-03-16,dividend,META,META Dividend Payment,low
2026-03-17,dividend,TSM,TSM Dividend Payment,low
2026-03-17,dividend,VRT,VRT Dividend Payment,low
2026-03-23,dividend,AVGO,AVGO Dividend Payment,low
2026-03-25,dividend,NXPI,NXPI Dividend Payment,low
2026-03-30,dividend,MU,MU Dividend Payment,low
2026-04-10,dividend,MRVL,MRVL Dividend Payment,low
2026-04-27,dividend,ASML,ASML Dividend Payment,low
2026-05-18,dividend,KLAC,KLAC Dividend Payment,low
2026-05-21,dividend,AMAT,AMAT Dividend Payment,low
2026-06-04,dividend,NVDA,NVDA Dividend Payment,low
2026-06-04,dividend,QCOM,QCOM Dividend Payment,low
2026-06-08,dividend,GOOGL,GOOGL Dividend Payment,low
2026-06-11,dividend,TSM,TSM Dividend Payment,low
2026-06-12,split,KLAC,KLAC Stock Split 10.0:1,high
2026-06-15,dividend,META,META Dividend Payment,low
2026-06-15,dividend,VRT,VRT Dividend Payment,low
2026-06-17,dividend,LRCX,LRCX Dividend Payment,low
2026-06-22,dividend,AVGO,AVGO Dividend Payment,low
2026-06-24,dividend,NXPI,NXPI Dividend Payment,low
2026-07-06,dividend,MU,MU Dividend Payment,low
2026-07-10,dividend,MRVL,MRVL Dividend Payment,low
2026-07-22,earnings,GOOGL,GOOGL Earnings Report,high
2026-07-28,earnings,KLAC,KLAC Earnings Report,high
2026-07-28,earnings,NXPI,NXPI Earnings Report,high
2026-07-29,earnings,ARM,ARM Earnings Report,high
2026-07-29,earnings,LRCX,LRCX Earnings Report,high
2026-07-29,earnings,META,META Earnings Report,high
2026-07-29,earnings,MOD,MOD Earnings Report,high
2026-07-29,earnings,QCOM,QCOM Earnings Report,high
2026-07-29,earnings,VRT,VRT Earnings Report,high
2026-08-03,earnings,ON,ON Earnings Report,high
2026-08-04,earnings,AMD,AMD Earnings Report,high
2026-08-11,earnings,SMCI,SMCI Earnings Report,high
2026-08-13,earnings,AMAT,AMAT Earnings Report,high
2026-08-26,earnings,NVDA,NVDA Earnings Report,high
2026-08-27,earnings,MRVL,MRVL Earnings Report,high
2026-09-03,earnings,AVGO,AVGO Earnings Report,high
2026-09-23,earnings,MU,MU Earnings Report,high
2026-10-14,earnings,ASML,ASML Earnings Report,high
2026-10-15,earnings,TSM,TSM Earnings Report,high
2026-10-22,earnings,INTC,INTC Earnings Report,high
